id,artist_name,followers,genres,popularity
2f9PTWJfMMDTAFZcvHy1Z5,OVERWERK,143567,electronic,45
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,20013528,pop,91
6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,675682,House,66
32ENZVmItiETXMCYfM1bbS,noturgf,105510,,63
2HDr90mJP3k5gaCkPIKdEn,BYNX,142498,electronic,44
1Y5AYn8VTrTR3f8HXQQQug,Mckyyy,91101,,66
3NWKujJeRjMxBbdID2hDHw,Synthet,4048,,26
3wrFoI9EVjWg6m8xXeWr5t,VALORANT,411288,electronic,63
4SZyEkBv1Ci5UTnHsnMQ8J,Hernán Marandino,5053,,27
6OqhFYFJDnBBHas02HopPT,Kero Kero Bonito,542405,electropop,54
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,25158393,electronic,83
0rqxWmKkGWxafTgINwGiLN,schnozz,1960,mashup,14
4zxvC7CRGvggq9EWXOpwAo,Kiesza,307771,pop,54
6cK3NBO6uP7hh0oyuVELFl,Saweetie,2479904,better than selena gomez,68
44RV4NtG7667JQNtX6iDZc,LŪN,20506,electronic,32
7ofG5BaSiQp8WeL4YCYDhF,adore,116181,ambient,66
2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,7757285,pop,72
3jPeL7fPXnzw5sx6SBjK59,ANTAGONÏZER,3757,USA,24
0iChYVsdfuGmWIUuhDE4M8,Embark Studios,7536,electronic,40
6EM7D8YUqKTFhM61WSEIDn,feasley,3430,video game music,32
0HIiXblDOFPXxkuI35wOMx,A Shell In The Pit,18133,electronic,36
4jEwTCIHu0hdDbamxScpou,lucidbeatz,218900,USA,67
6cMsaDvwIUXtHGQPDbqHvn,Scammacist,49511,,53
1L71IaJOJbqqbpyAXjCtM8,shygalaxyy,407,,22
23fg0cVv5NqtRXn8h9Z23f,SHARON.,1521,,28
2RqrWplViWHSGLzlhmDcbt,Yaeji,452403,electronic,51
4E2rKHVDssGJm2SCDOMMJB,Doechii,2167736,rap,86
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,5420461,pop,87
4wrWMxa1wnZX5ZDhV6qk6f,Rad Cat,9738,EDM,36
7biIlpW0y5KqYIehTQz1wz,Waterflame,154802,electronic,50
7pwufEBGfggjoI8twqlsmQ,Nessa Barrett,1543183,pop,75
26OrZl5U3VNGHU9qUj8EcM,Shift K3Y,98837,House,52
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,707172,pop,71
2lUIueNhIGX0lsDGCxAgGz,Alphascan,1290,trance,23
1bgWqGp78w6C8CNPvD6Qlo,FWLR,20675,canada,36
52PdgUJOjvS6Mpmjy1SAlx,hemlocke springs,239260,indie pop,48
13OXgp0fFDhWRPSXnN8yLT,BRVMES,5278,dubstep,25
540vIaP2JwjQb9dm3aArA4,DJ Snake,9056665,electronic,78
0NB5HROxc8dDBXpkIi1v3d,Remi Wolf,587225,seen live,66
4NHQUGzhtTLFvgF5SZesLK,Tove Lo,3668078,pop,73
2FRXiAz5Uz78LLLSwEUhLt,Miracle Musical,565093,experimental,60
